"id","name","st_x","st_y"
2038,"Vooka di Mbanza",15.15817,-5.72573
2000,"Kiyenha (Slave Market)",15.28268,-5.51964
2001,"Kiyenga",15.285783,-5.5247
1999,"Nganda",15.256616,-5.489
1981,"Nkumba",14.866216,-5.549566
2036,"Vooka Kinkombo",15.15413,-5.7249
2003,"Kiyanika",15.29779,-5.58683
1980,"Kitala",14.867683,-5.5508
1977,"Mbanza",14.514183,-5.330433
2035,"Ngombi",15.141466,-5.726433
1969,"Kinsuka Nord",15.13333,-5.78333
1970,"Mbata Mvungu",13.30091,-4.96522
2024,"Lemba-Kimfuti 3",15.12583,-5.78639
1985,"Mbanza Pangu 4",14.87003,-5.540722
1965,"Kinlongo",15.12778,-5.78222
2025,"Lemba vieux",15.12472,-5.77584
1984,"Mbanza Pangu 3",14.87283,-5.54075
1997,"Kingunga",15.26626,-5.48564
1983,"Mbanza Pangu 2",14.86883,-5.542361
1982,"Mbanza Pangu 1",14.86822,-5.543167
2031,"Mbilu",15.137377,-5.735761
2020,"Kingombe",15.164223,-5.783492
2030,"Mbata Kulunsi",15.142209,-5.740797
1990,"Kindugi 2",15.12149,-4.87439
1993,"Kindugi 1",15.13523,-4.87288
1978,"Zumba dia Mbanza",14.5131,-5.325249
1971,"Kindu",13.61322,-4.95097
2029,"Kingondo 2",15.12806,-5.75694
2028,"Kingondo 1",15.12333,-5.77056
2032,"Makela",15.136298,-5.734167
2005,"Vooka di Sadi",15.30496,-5.61193
1998,"Mani",15.258704,-5.487864
2416,"LE7",17.515126,3.761207
1062,"Ngombe",17.192417,-0.849508
2033,"Kinsala",15.141997,-5.732081
2034,"Kinkinzi",15.142783,-5.729633
2021,"Kimfuti 3",15.14472,-5.79972
2022,"Kimfuti 1",15.13472,-5.78972
2004,"Vooka di Lenga",15.29763,-5.60923
1992,"Vooka di Kindabi",15.14508,-5.18578
2017,"Ntadi",15.18014,-5.83027
1968,"Kimalembe",15.13083,-5.96611
1987,"Nseke-Nsandi",14.97555,-4.96551
